step,train_loss,train_perplexity,lr,grad_norm,tokens_seen,tokens_per_sec,elapsed_s,val_loss,val_perplexity
1610,2.530757,12.563,0.0026764886377724506,0.5304,13189120,362141.2,40.37,,
1620,2.598571,13.4445,0.00267172012551477,0.531,13271040,359902.4,40.6,,
1630,2.60998,13.5988,0.002666921585440867,0.5382,13352960,364084.4,40.82,,
1640,2.496229,12.1366,0.0026620931585773075,0.5442,13434880,359480.7,41.05,,
1650,2.464478,11.7573,0.0026572349868290127,0.5469,13516800,363362.1,41.27,,
1660,2.489256,12.0523,0.002652347212975091,0.5585,13598720,361255.2,41.5,,
1670,2.480215,11.9438,0.002647429980664641,0.5491,13680640,360477.1,41.73,,
1680,2.47482,11.8796,0.0026424834344125295,0.5637,13762560,355938.5,41.96,,
1690,2.50721,12.2706,0.0026375077195951455,0.504,13844480,362076.3,42.18,,
1700,2.450314,11.592,0.002632502982446126,0.5592,13926400,360570.5,42.41,,
1710,2.473933,11.869,0.0026274693700520583,0.5136,14008320,331044.8,42.66,,
1720,2.499542,12.1769,0.00262240703034816,0.5416,14090240,343140.3,42.9,,
1730,2.435074,11.4167,0.0026173161121139277,0.5869,14172160,340606.5,43.14,,
1740,2.464854,11.7618,0.002612196764968766,0.5979,14254080,344837.1,43.38,,
1750,2.424839,11.3004,0.0026070491393675906,0.543,14336000,304736.2,43.64,,
1750,2.424839,11.3004,0.0026070491393675906,0.543,14336000,,44.01,2.494741,12.1186
1760,2.500401,12.1874,0.002601873386596406,0.5406,14417920,111455.8,44.38,,
1770,2.455501,11.6523,0.0025966696587678595,0.5168,14499840,330364.6,44.63,,
1780,2.425594,11.3089,0.002591438108816771,0.5543,14581760,342155.5,44.87,,
1790,2.479495,11.9352,0.0025861788904956366,0.5408,14663680,340049.3,45.11,,
1800,2.447705,11.5618,0.002580892158370112,0.5744,14745600,336554.6,45.35,,
1810,2.351987,10.5064,0.0025755780678144704,0.5766,14827520,291640.0,45.63,,
1820,2.505574,12.2506,0.002570236775007033,0.5684,14909440,343098.9,45.87,,
1830,2.574315,13.1223,0.0025648684369255804,0.4985,14991360,333090.7,46.12,,
1840,2.331005,10.2883,0.0025594732113427424,0.5162,15073280,339408.4,46.36,,
1850,2.439629,11.4688,0.0025540512568213557,0.5301,15155200,360242.8,46.59,,
1860,2.446803,11.5514,0.0025486027327098074,0.5411,15237120,362543.5,46.81,,
1870,2.469765,11.8197,0.0025431277991373505,0.5421,15319040,362013.4,47.04,,
1880,2.441691,11.4925,0.0025376266170093983,0.5581,15400960,361040.3,47.26,,
1890,2.532825,12.589,0.0025320993480027957,0.5491,15482880,359581.1,47.49,,
1900,2.465233,11.7662,0.002526546154561067,0.5424,15564800,358519.3,47.72,,
1910,2.466145,11.777,0.002520967199889642,0.5848,15646720,362362.3,47.95,,
1920,2.477605,11.9127,0.0025153626479510584,0.5397,15728640,363732.1,48.17,,
1930,2.453855,11.6331,0.002509732663460146,0.5613,15810560,354713.8,48.4,,
1940,2.416951,11.2116,0.0025040774118791826,0.5741,15892480,362049.2,48.63,,
1950,2.429884,11.3576,0.002498397059413033,0.5759,15974400,364384.0,48.85,,
1960,2.44895,11.5762,0.0024926917730042635,0.5318,16056320,362407.4,49.08,,
1970,2.385851,10.8683,0.0024869617203282365,0.5325,16138240,364046.6,49.31,,
1980,2.395553,10.9743,0.00248120706978818,0.4823,16220160,358556.0,49.53,,
1990,2.430974,11.37,0.002475427990510244,0.5412,16302080,359535.2,49.76,,
2000,2.450408,11.5931,0.0024696246523385214,0.5492,16384000,363163.5,49.99,,
2000,2.450408,11.5931,0.0024696246523385214,0.5492,16384000,,50.32,2.458275,11.6846
2010,2.45067,11.5961,0.0024637972258300654,0.5721,16465920,110131.8,50.73,,
2020,2.515637,12.3745,0.0024579458822498704,0.6057,16547840,361990.9,50.96,,
2030,2.473692,11.8662,0.0024520707935658413,0.5288,16629760,361930.2,51.18,,
2040,2.332843,10.3072,0.00244617213244374,0.5358,16711680,358502.9,51.41,,
2050,2.423772,11.2884,0.002440250072242109,0.5337,16793600,360309.6,51.64,,
2060,2.456241,11.6609,0.0024343047870071786,0.5567,16875520,362620.8,51.87,,
2070,2.462565,11.7349,0.0024283364514677487,0.5323,16957440,361151.1,52.09,,
2080,2.471195,11.8366,0.002422345241030057,0.5471,17039360,361127.2,52.32,,
2090,2.455891,11.6568,0.0024163313317726214,0.5182,17121280,355559.5,52.55,,
2100,2.447218,11.5562,0.002410294900441067,0.5883,17203200,362448.3,52.78,,
2110,2.335837,10.3381,0.002404236124442931,0.5256,17285120,360849.6,53.0,,
2120,2.359174,10.5822,0.0023981551818424473,0.5698,17367040,362762.1,53.23,,
2130,2.447802,11.5629,0.0023920522513553154,0.5596,17448960,357727.3,53.46,,
2140,2.456659,11.6658,0.002385927512343448,0.589,17530880,354698.0,53.69,,
2150,2.351942,10.506,0.002379781144809697,0.5893,17612800,361680.7,53.91,,
2160,2.445119,11.5319,0.002373613329392567,0.5411,17694720,358756.6,54.14,,
2170,2.45989,11.7035,0.0023674242473609034,0.5655,17776640,361424.3,54.37,,
2180,2.384462,10.8532,0.0023612140806085666,0.5933,17858560,359228.1,54.6,,
2190,2.411896,11.1551,0.002354983011649085,0.5277,17940480,360670.8,54.82,,
2200,2.423805,11.2887,0.002348731223610294,0.5327,18022400,356819.0,55.05,,
2210,2.370178,10.6993,0.002342458900228949,0.5426,18104320,360534.6,55.28,,
2220,2.347719,10.4617,0.0023361662258453313,0.5675,18186240,356889.4,55.51,,
2230,2.470473,11.828,0.002329853385397825,0.5301,18268160,353528.0,55.74,,
2240,2.455762,11.6553,0.0023235205644174853,0.5508,18350080,360037.4,55.97,,
2250,2.433417,11.3978,0.0023171679490225842,0.6217,18432000,361495.0,56.2,,
2250,2.433417,11.3978,0.0023171679490225842,0.6217,18432000,,56.56,2.427941,11.3355
2260,2.394657,10.9644,0.0023107957259131417,0.5464,18513920,108968.9,56.95,,
2270,2.415641,11.1969,0.002304404082365438,0.5183,18595840,305918.1,57.22,,
2280,2.45973,11.7017,0.00229799320622651,0.5464,18677760,244408.4,57.55,,
2290,2.420223,11.2484,0.0022915632859086296,0.5501,18759680,220283.4,57.92,,
2300,2.46136,11.7207,0.0022851145103837673,0.5418,18841600,262581.9,58.24,,
2310,2.495008,12.1218,0.002278647069178039,0.5782,18923520,339555.3,58.48,,
2320,2.411648,11.1523,0.0022721611523661336,0.5352,19005440,333711.2,58.72,,
2330,2.460163,11.7067,0.0022656569505657303,0.5426,19087360,337592.3,58.97,,
2340,2.411183,11.1471,0.002259134654931893,0.5355,19169280,342989.9,59.2,,
2350,2.41577,11.1984,0.0022525944571514544,0.5065,19251200,337857.2,59.45,,
2360,2.452532,11.6177,0.0022460365494373813,0.5287,19333120,305545.9,59.71,,
2370,2.298474,9.959,0.0022394611245231274,0.5392,19415040,319430.8,59.97,,
2380,2.364925,10.6432,0.0022328683756569654,0.5835,19496960,333490.0,60.22,,
2390,2.344274,10.4257,0.0022262584965963127,0.5019,19578880,359347.2,60.44,,
2400,2.292294,9.8976,0.0022196316816020323,0.5993,19660800,355558.0,60.68,,
2410,2.360788,10.5993,0.0022129881254327253,0.6002,19742720,350931.5,60.91,,
2420,2.390443,10.9183,0.0022063280233390074,0.5812,19824640,360568.2,61.14,,
2430,2.363249,10.6254,0.0021996515710577713,0.5263,19906560,362174.0,61.36,,
2440,2.409298,11.1262,0.0021929589648064314,0.5785,19988480,358524.6,61.59,,
2450,2.351768,10.5041,0.00218625040127716,0.4842,20070400,361648.7,61.82,,
2460,2.39334,10.95,0.002179526077631105,0.5472,20152320,357307.6,62.05,,
2470,2.271232,9.6913,0.0021727861914925956,0.5387,20234240,360362.5,62.27,,
2480,2.430334,11.3627,0.002166030940943335,0.5798,20316160,359034.1,62.5,,
2490,2.405382,11.0827,0.0021592605245165774,0.5466,20398080,360861.0,62.73,,
2500,2.350881,10.4948,0.0021524751411912952,0.5215,20480000,352285.4,62.96,,
2500,2.350881,10.4948,0.0021524751411912952,0.5215,20480000,,63.3,2.388534,10.8975
2510,2.404986,11.0783,0.00214567499038633,0.5722,20561920,111304.3,63.7,,
2520,2.369146,10.6883,0.0021388602719545307,0.52,20643840,359275.8,63.93,,
2530,2.202247,9.0453,0.002132031186176882,0.5388,20725760,357476.0,64.15,,
2540,2.404057,11.068,0.0021251879337566178,0.5707,20807680,358332.0,64.38,,
